구분,1종대형,1종보통,1종소형,대형견인,소형견인,구난,2종보통,2종소형,원자
16,0,0,0,0,0,0,0,0,3126
17,0,0,0,0,0,0,0,0,7782
18,0,30004,0,0,0,0,20479,112,5422
19,779,124675,0,0,0,3,107369,106,2967
20,2987,170458,0,1,1,10,158899,132,2887
21,6449,187442,0,4,2,22,182708,180,3328
22,12119,211622,0,6,0,12,206414,201,3559
23,16224,236106,0,14,0,9,226844,208,2839
24,18963,259557,0,12,0,9,238375,207,2274
25,21127,287603,0,4,3,14,246345,225,1969
26,22230,289705,0,5,4,15,248579,220,1813
27,21095,279386,0,24,2,21,231267,173,1593
28,21600,283614,0,11,4,21,233626,168,1492
29,21727,296078,0,22,8,13,228189,154,1502
30,22303,300778,0,19,7,15,224136,142,1510
31,23996,318936,0,17,4,20,219384,148,1619
32,27229,343310,0,17,9,15,216905,162,1607
33,28453,361381,0,18,9,23,210702,150,1653
34,35644,420202,0,25,17,26,224829,163,1600
35,41457,469591,0,29,17,20,238126,180,1786
36,44539,484908,0,34,13,26,236964,175,1605
37,46312,483716,0,35,14,24,234275,160,1567
38,48216,474839,0,57,20,17,235236,185,1522
39,45381,412838,0,44,20,25,203342,154,1417
40,49397,435897,0,47,17,30,225798,165,1407
41,50156,423238,0,73,22,20,222671,125,1390
42,53309,428821,0,55,19,22,234225,137,1421
43,60616,461279,0,97,16,25,253167,175,1581
44,63703,471923,0,101,17,19,265784,132,1625
45,65248,471312,0,102,9,16,264522,137,1792
46,70595,491572,0,90,16,20,276329,136,1854
47,69820,475739,0,91,14,29,265735,174,2064
48,71139,472427,0,94,18,20,263903,156,2187
49,72544,470649,0,107,5,21,258171,159,2581
50,67643,429322,0,100,12,11,239890,166,2564
51,68102,408926,0,103,13,15,215383,167,2875
52,67609,413899,0,105,5,15,231862,158,3228
53,65886,399801,0,95,10,18,225886,154,3425
54,62754,374616,0,82,10,6,214428,178,3671
55,70369,408531,0,88,10,10,229353,199,4464
56,71329,411381,0,84,11,11,233282,198,5298
57,70687,404972,0,78,4,6,232590,217,5780
58,63727,367286,0,76,8,12,210954,200,5765
59,58026,329913,0,67,4,8,189259,188,5539
60,56326,317980,0,57,4,4,184422,181,5799
61,50177,275718,1,49,2,7,164229,198,6143
62,50114,273731,0,55,4,6,166639,207,6753
63,41988,225674,0,37,1,1,136308,139,6276
64,32868,187060,0,47,4,0,117788,132,5731
65,35141,195453,0,23,5,2,125110,160,7275
66,23671,132235,0,25,4,1,85384,125,6380
67,23527,134166,0,30,2,0,89796,106,7180
68,21106,126421,0,21,0,2,89756,123,7990
69,19319,118093,0,20,0,2,86191,140,8373
70,17277,109068,0,19,1,1,83824,129,9303
71,13055,81332,0,7,0,3,66338,107,7787
72,10437,63953,0,4,0,3,55354,87,7644
73,10350,59267,0,11,1,0,54393,83,9161
74,8841,52309,0,3,1,1,50823,107,10034
75,9351,54869,1,9,1,0,56825,120,13922
76,6537,39564,0,5,0,0,44927,75,11634
77,5035,29407,3,6,0,0,37212,48,10519
78,4535,25555,1,3,0,0,34703,48,11175
79,3366,19849,0,4,0,1,28394,42,9959
80,2528,15276,1,3,0,0,23985,39,9084
81,1753,11235,1,4,0,0,19744,31,8388
82,1336,8062,0,3,0,0,16535,29,7329
83,846,5635,0,0,0,0,12456,22,6109
84,577,3798,0,1,0,1,8848,6,4652
85,417,2733,0,0,0,0,6872,7,3738
86,276,1782,0,0,0,0,4518,11,2568
87,194,1217,0,2,0,0,3241,5,1929
88,157,1046,1,0,0,0,2827,8,1499
89,93,627,0,0,0,0,1875,9,1117
90,73,429,0,0,0,0,1286,4,797
91,35,241,0,1,0,0,760,5,500
92,21,138,0,0,0,0,529,1,339
93,31,129,0,0,0,0,447,1,232
94,25,139,2,0,0,0,413,2,167
95,12,83,0,0,0,0,264,1,133
96,11,50,0,1,0,0,134,0,65
97,11,43,0,0,0,0,95,0,48
98,6,30,0,0,0,0,84,0,39
99 이상,10,66,0,0,0,0,186,0,23
